"Frequency (GHz)","Fitted","Frequency (GHz)","Insertion Loss","Uncertainty @12.89GHz 17.855% - Frequency (GHz)","Uncertainty @12.89GHz 17.855% - Insertion Loss / in (dB)","Uncertainty @16.00GHz 8.406% - Frequency (GHz)","Uncertainty @16.00GHz 8.406% - Insertion Loss / in (dB)","Uncertainty @28.00GHz 5.993% - Frequency (GHz)","Uncertainty @28.00GHz 5.993% - Insertion Loss / in (dB)","Uncertainty @4.00GHz 13.734% - Frequency (GHz)","Uncertainty @4.00GHz 13.734% - Insertion Loss / in (dB)","Uncertainty @8.00GHz 48.130% - Frequency (GHz)","Uncertainty @8.00GHz 48.130% - Insertion Loss / in (dB)"
0.04,0.03596579821395892,0.04,0.03596579821395892,12.92,0.8125555060485828,16,0.9265125938482318,28,1.3149515017992544,4,0.3977664531908126,8,0.6066065911187775
0.08,0.04759499123787845,0.08,0.04759499123787845,,,,,,,,,,
0.12000000000000001,0.05799621121357735,0.12000000000000001,0.05799621121357735,,,,,,,,,,
0.16,0.06744319366013937,0.16,0.06744319366013937,,,,,,,,,,
0.2,0.06258112526032181,0.2,0.07547348309770414,,,,,,,,,,
0.24000000000000002,0.07011386863773655,0.24000000000000002,0.08419761552064373,,,,,,,,,,
0.28,0.07717932665163682,0.28,0.0907184247439258,,,,,,,,,,
0.32,0.08386715583260591,0.32,0.09562158477389537,,,,,,,,,,
0.36000000000000004,0.09024085715742595,0.36000000000000004,0.10394159647231081,,,,,,,,,,
0.4,0.09634745403410942,0.4,0.10761594556727358,,,,,,,,,,
0.44,0.1022229802506357,0.44,0.1155391212309324,,,,,,,,,,
0.48000000000000004,0.10789580840509466,0.48000000000000004,0.1228306905682694,,,,,,,,,,
0.52,0.11338877770827265,0.52,0.12577083352851345,,,,,,,,,,
0.56,0.11872061318168096,0.56,0.12936351284872702,,,,,,,,,,
0.6000000000000001,0.12390690589457276,0.6000000000000001,0.1344496179581805,,,,,,,,,,
0.64,0.12896081015281166,0.64,0.13859879389564242,,,,,,,,,,
0.68,0.13389355190319716,0.68,0.14309918707430508,,,,,,,,,,
0.7200000000000001,0.13871480753544935,0.7200000000000001,0.14711483670212305,,,,,,,,,,
0.76,0.14343299146063354,0.76,0.15346629938282774,,,,,,,,,,
0.8,0.14805547806277883,0.8,0.16631032281211106,,,,,,,,,,
0.8400000000000001,0.15258877552071945,0.8400000000000001,0.1617474718908546,,,,,,,,,,
0.88,0.15703866372346162,0.88,0.16415355214293947,,,,,,,,,,
0.92,0.1614103049851701,0.92,0.1676735479033753,,,,,,,,,,
0.9600000000000001,0.16570833386931108,0.9600000000000001,0.17213140864694162,,,,,,,,,,
1,0.16993693076677902,1,0.1771911627074377,,,,,,,,,,
1.04,0.17409988269619958,1.04,0.17964098536117112,,,,,,,,,,
1.08,0.17820063394971472,1.08,0.18398670207307366,,,,,,,,,,
1.12,0.18224232859207792,1.12,0.18625935740652133,,,,,,,,,,
1.1600000000000001,0.1862278463665818,1.1600000000000001,0.19107595232599667,,,,,,,,,,
1.2000000000000002,0.19015983322190763,1.2000000000000002,0.1901660075132921,,,,,,,,,,
1.24,0.1940407274175289,1.24,0.19731106793101388,,,,,,,,,,
1.28,0.1978727819695209,1.28,0.20119310818084585,,,,,,,,,,
1.32,0.2016580840477219,1.32,0.20374290029739367,,,,,,,,,,
1.36,0.20539857181783422,1.36,0.2073021882899995,,,,,,,,,,
1.4000000000000001,0.20909604913001675,1.4000000000000001,0.21124798141838944,,,,,,,,,,
1.4400000000000002,0.2127521983827773,1.4400000000000002,0.21607723591973782,,,,,,,,,,
1.48,0.2163685918330598,1.48,0.22199754758147686,,,,,,,,,,
1.52,0.21994670157698915,1.52,0.23036528998319145,,,,,,,,,,
1.56,0.22348790838827645,1.56,0.2537446451127859,,,,,,,,,,
1.6,0.22699350957087402,1.6,0.3406583123819628,,,,,,,,,,
1.6400000000000001,0.2304647259576381,1.6400000000000001,0.33724981835312406,,,,,,,,,,
1.6800000000000002,0.23390270816637077,1.6800000000000002,0.26575518903419515,,,,,,,,,,
1.7200000000000002,0.23730854220779105,1.7200000000000002,0.2474284167474283,,,,,,,,,,
1.76,0.2406832545260329,1.76,0.24513586844743146,,,,,,,,,,
1.8,0.24402781654064723,1.8,0.24542358084857258,,,,,,,,,,
1.84,0.2473431487493564,1.84,0.24704416422532577,,,,,,,,,,
1.8800000000000001,0.2506301244426386,1.8800000000000001,0.2477589812489308,,,,,,,,,,
1.9200000000000002,0.25388957307431986,1.9200000000000002,0.2504816528324027,,,,,,,,,,
1.9600000000000002,0.257122283326514,1.9600000000000002,0.2519511083853397,,,,,,,,,,
2,0.2603290059022797,2,0.2548317393010355,,,,,,,,,,
2.04,0.2635104560751328,2.04,0.25840840494978734,,,,,,,,,,
2.08,0.26666731602092153,2.08,0.26095305015791004,,,,,,,,,,
2.12,0.26980023695446004,2.12,0.2661877530418415,,,,,,,,,,
2.16,0.27290984109063354,2.16,0.2665286011662858,,,,,,,,,,
2.2,0.2759967234473689,2.2,0.27035421597054077,,,,,,,,,,
2.24,0.27906145350585887,2.24,0.27281344735629065,,,,,,,,,,
2.2800000000000002,0.2821045767416814,2.2800000000000002,0.27500186305258256,,,,,,,,,,
2.3200000000000003,0.28512661603893746,2.3200000000000003,0.27859748888616215,,,,,,,,,,
2.3600000000000003,0.2881280729982028,2.3600000000000003,0.280788770705031,,,,,,,,,,
2.4000000000000004,0.2911094291479266,2.4000000000000004,0.28586739751673945,,,,,,,,,,
2.44,0.29407114706789195,2.44,0.29253424010028906,,,,,,,,,,
2.48,0.29701367143245483,2.48,0.292145411060231,,,,,,,,,,
2.52,0.29993742998048806,2.52,0.2936640600578547,,,,,,,,,,
2.56,0.30284283441825915,2.56,0.2930614371435384,,,,,,,,,,
2.6,0.30573028126085217,2.6,0.2951578052522255,,,,,,,,,,
2.64,0.30860015261719564,2.64,0.29779976334597597,,,,,,,,,,
2.68,0.31145281692327104,2.68,0.30172329392811426,,,,,,,,,,
2.72,0.31428862962764376,2.72,0.3049049826151233,,,,,,,,,,
2.7600000000000002,0.31710793383307057,2.7600000000000002,0.3056897798942954,,,,,,,,,,
2.8000000000000003,0.31991106089759164,2.8000000000000003,0.30923708563093155,,,,,,,,,,
2.8400000000000003,0.3226983309982078,2.8400000000000003,0.3119717881309133,,,,,,,,,,
2.8800000000000003,0.3254700536599635,2.8800000000000003,0.3148683865490346,,,,,,,,,,
2.9200000000000004,0.32822652825300974,2.9200000000000004,0.31756022604662487,,,,,,,,,,
2.96,0.3309680444599953,2.96,0.320308455523183,,,,,,,,,,
3,0.333694882715934,3,0.3207769318574771,,,,,,,,,,
3.04,0.3364073146225135,3.04,0.32561827018530254,,,,,,,,,,
3.08,0.33910560333864653,3.08,0.32691916276166133,,,,,,,,,,
3.12,0.341790003948917,3.12,0.333526033912718,,,,,,,,,,
3.16,0.3444607638114399,3.16,0.3390240357280886,,,,,,,,,,
3.2,0.3471181228865292,3.2,0.35537235042453796,,,,,,,,,,
3.24,0.34976231404745994,3.24,0.3874468222504561,,,,,,,,,,
3.2800000000000002,0.3523935633745087,3.2800000000000002,0.3836121529223169,,,,,,,,,,
3.3200000000000003,0.3550120904333631,3.3200000000000003,0.35832079969016933,,,,,,,,,,
3.3600000000000003,0.35761810853891207,3.3600000000000003,0.3474355623521514,,,,,,,,,,
3.4000000000000004,0.3602118250053461,3.4000000000000004,0.34883720075576197,,,,,,,,,,
3.4400000000000004,0.3627934413834328,3.4400000000000004,0.34753150334617744,,,,,,,,,,
3.4800000000000004,0.3653631536857644,3.4800000000000004,0.350732186761176,,,,,,,,,,
3.52,0.3679211526007207,3.52,0.3536012762713402,,,,,,,,,,
3.56,0.3704676236958312,3.56,0.353649442128408,,,,,,,,,,
3.6,0.3730027476111768,3.6,0.36000019715190895,,,,,,,,,,
3.64,0.3755267002434237,3.64,0.3535868445159443,,,,,,,,,,
3.68,0.37803965292104036,3.68,0.3590485598078993,,,,,,,,,,
3.72,0.3805417725712107,3.72,0.3600847472456687,,,,,,,,,,
3.7600000000000002,0.3830332218789241,3.7600000000000002,0.3618525795723073,,,,,,,,,,
3.8000000000000003,0.38551415943868517,3.8000000000000003,0.36281486923851425,,,,,,,,,,
3.8400000000000003,0.3879847398992615,3.8400000000000003,0.3623800608016089,,,,,,,,,,
3.8800000000000003,0.39044511410185806,3.8800000000000003,0.36759129695773507,,,,,,,,,,
3.9200000000000004,0.3928954292120794,3.9200000000000004,0.36769972300484005,,,,,,,,,,
3.9600000000000004,0.39533582884602203,3.9600000000000004,0.37389916758682645,,,,,,,,,,
4,0.3977664531908126,4,0.3796353928133067,,,,,,,,,,
4.04,0.4001874391198904,4.04,0.39382350702279867,,,,,,,,,,
