"Frequency (GHz)","Fitted","Frequency (GHz)","Insertion Loss","Uncertainty @12.89GHz 3.083% - Frequency (GHz)","Uncertainty @12.89GHz 3.083% - Insertion Loss / in (dB)","Uncertainty @16.00GHz 6.121% - Frequency (GHz)","Uncertainty @16.00GHz 6.121% - Insertion Loss / in (dB)","Uncertainty @28.00GHz 83.582% - Frequency (GHz)","Uncertainty @28.00GHz 83.582% - Insertion Loss / in (dB)","Uncertainty @4.00GHz 4.882% - Frequency (GHz)","Uncertainty @4.00GHz 4.882% - Insertion Loss / in (dB)","Uncertainty @8.00GHz 4.647% - Frequency (GHz)","Uncertainty @8.00GHz 4.647% - Insertion Loss / in (dB)"
0.030000000000000002,0.022298321242721898,0.030000000000000002,0.022298321242721898,12.9,0.8567716216200847,16.02,1.02528885390217,28.020000000000003,1.6739744051557448,4.02,0.35379074322813037,8.01,0.5875420030773431
0.060000000000000005,0.030268241624971638,0.060000000000000005,0.030268241624971638,,,,,,,,,,
0.09000000000000001,0.03744132873689445,0.09000000000000001,0.03744132873689445,,,,,,,,,,
0.12000000000000001,0.04416046182952178,0.12000000000000001,0.04416046182952178,,,,,,,,,,
0.15000000000000002,0.05116426811414106,0.15000000000000002,0.05116426811414106,,,,,,,,,,
0.18000000000000002,0.05498545145266683,0.18000000000000002,0.05498545145266683,,,,,,,,,,
0.21000000000000002,0.05896351534103635,0.21000000000000002,0.0600219924095739,,,,,,,,,,
0.24000000000000002,0.06332878253016327,0.24000000000000002,0.06290080185576084,,,,,,,,,,
0.27,0.06748347526894977,0.27,0.06670409600602945,,,,,,,,,,
0.30000000000000004,0.07146280110501095,0.30000000000000004,0.06993574513225188,,,,,,,,,,
0.33,0.07529321264172685,0.33,0.0747710920814313,,,,,,,,,,
0.36000000000000004,0.07899517338271671,0.36000000000000004,0.07898806419359544,,,,,,,,,,
0.39,0.08258489402899483,0.39,0.08339315279892408,,,,,,,,,,
0.42000000000000004,0.08607547171631938,0.42000000000000004,0.08612440856425654,,,,,,,,,,
